"Q99K10"	"3B3Q A/B=46-635"
"P60010"	"1YAG A=1-375"
"Q03963"	"1X48 A=96-171"
"P15530"	"3KHO A/B=27-159"
"O08712"	"4E4D R=22-197"
"P28574"	"1A93 B=74-102"
"P09803"	"1EDH A/B=156-380"
"O55128"	"4A6Q A=6-143"
"P62509-1"	"1S9P A/B/C/D=232-458"
"P06537"	"3MNE A=527-783"
"P39688"	"3UF4 A=81-239"
"P28867"	"1PTQ A=231-280"
"P51825"	"2LM0 A=738-779"
"P55211"	"1JXQ A/B/C/D=140-416"
"Q91XD6"	"2DX5 A=1-139"
"P42230"	"1Y1U A/B/C=128-712"
"P24468"	"3CJW A=175-414"
"P62806"	"1F66 B/F=1-103"
"P55055"	"1P8D A/B=213-460"
"P70207"	"3AL8 B=31-561"
"P63239"	"1KN6 A=28-110"
"Q00422"	"1AWC A=320-429"
"O88508-1"	"3SW9 P/Q=39-50"
"Q91XM9"	"2WL7 A=95-188"
"P30561"	"4M4X A/B=110-267"
"Q13563"	"2KLD A=680-796"
"Q61188"	"2QXV B=39-68"
"Q9NZQ7"	"3BIK A=18-239"
"Q9BXL7"	"4LWD A=18-110"
"P07309"	"2QPF A/B/C/D/E/F/G/H=21-147"
"Q04863"	"1ZK9 A=277-378"
"Q62261"	"1BTN A=2199-2304"
"Q99104"	"2IX7 C=763-820"
"P01900"	"1BII A=1-365"
"Q9ES57"	"4BFG A=26-232"
"P27986"	"1A0N A=91-104"
"Q7KZI7"	"3IEC A/B/C/D=49-363"
"P28482"	"1PME A=1-360"
"Q96QK1"	"2R17 C/D=483-780"
"P41778"	"1DU6 A=241-294"
"Q9EQZ6"	"1O7F A=1-481"
"Q9Z111"	"3CG6 A/B=15-159"
"Q01853"	"1E32 A=1-458"
"Q80Y61"	"3OK8 A/B=1-220"
"O88188"	"3M7O A/B/C/D=1-162"
"O15534"	"1UL6 A=830-845"
"P08109"	"1CKR A=385-543"
"P11345"	"1RRB A=51-131"
"P35235"	"1AYA A/B=4-103"
"P04049"	"1C1Y B=55-131"
"Q3U2S8"	"3VMX A/B/C/D=220-266"
"O88509"	"1KHC A=219-362"
"P41182"	"1R28 A/B=5-129"
"P10844"	"1EPW A=2-1290"
"Q62315"	"2RQ5 A=615-730"
"P98155"	"1V9U 5=111-151"
"P97798"	"4BQ6 A/B=883-1134"
"P02568"	"1MDU B/E=1-377"
"Q8CIS0"	"4I16 A=21-110"
"Q02242"	"1NPU A=34-150"
"P02994"	"1F60 A=1-458"
"P26043"	"1GC6 A=1-297"
"P21784"	"2JWO A=414-487"
"P19793"	"1BY4 A/B/C/D=129-209"
"P27038"	"1BTE A/B=25-121"
"P03372"	"1A52 A/B=297-554"
"Q8BH64"	"2QPT A=1-543"
"Q13873"	"2HLQ A=33-131"
"P63073"	"1EJ1 A/B=28-217"
"Q9QY24"	"1J75 A=8-70"
"Q03347"	"1EAN A=46-185"
"P36898"	"3EVS C=14-126"
"P24941"	"1AQ1 A=1-298"
"P17931"	"1A3K A=114-250"
"Q6P5F9"	"3GJX A/D=1-1071"
"P63086"	"1ERK A=1-358"
"P20263"	"1OCP A=217-282"
"Q91V27"	"2ZET C/D=1-146"
"P97428"	"3C7K B/D=53-180"
"Q16611"	"1BXL B=72-87"
"P70280"	"2VX8 A/B/C/D=1-120"
"P45984"	"3E7O A/B=7-362"
"Q96QV1"	"2WFT A/B=214-671"
"Q61644"	"2X3V A/B/C=1-337"
"P35569"	"1AYB P=887-898"
"Q61036"	"1EES B=65-123"
"P97302"	"2Z8H A=1-135"
"Q99PJ1"	"4APX B=27-259"
"P09603"	"1HMC A/B=36-181"
"P01887"	"1BII B=1-119"
"Q9Y618"	"1KKQ E/F/G/H=2347-2365"
"O94888"	"1WJ4 A=378-487"
"Q8VDS3"	"2KVM A=1-71"
"P01942"	"3HRW A/C=2-142"
"P55288"	"2A4C A/B=54-151"
"P00523"	"1F1W A=145-246"
"P62988"	"2LJ5 A=1-76"
"Q3TBT3"	"4JC5 A/B=149-348"
"P07174"	"1NGR A=334-418"
"P01132"	"1A3P A=980-1024"
"Q03164"	"2AGH C=2842-2869"
"Q62141"	"1E91 A=148-232"
"P05556"	"1K11 B=786-797"
"O00327"	"4H10 A=66-128"
"P01111"	"3CON A=1-172"
"P09056"	"1A7M A=24-203"
"P06213"	"1GAG A=1005-1310"
"O60242"	"4DLO A/B=498-868"
"Q9UHR4"	"2KXC A=339-402"
"O43189"	"2E5P A=29-83"
"Q80UL9"	"3MJ6 A=21-280"
"P25446"	"3OQ9 A/B/C/D/E=223-308"
"P08648"	"3VI3 A/C=42-664"
"P55271"	"1D9S A=1-130"
"Q61466"	"1UHR A=291-370"
"P68135"	"1ALM V/W/X/Y/Z=3-374"
"Q8CFI0"	"1WR3 A=221-254"
"P21279"	"2BCJ Q=37-353"
"P48736"	"1E8Y A=144-1102"
"Q9WUD1"	"2C2L A/B/C/D=24-304"
"P12755"	"1MR1 C/D=219-313"
"Q9H3S7"	"3RAU A/B=2-361"
"P38398"	"1JM7 A=1-110"
"P97784"	"4K0R A=1-606"
"Q01705"	"1YMP A/B=1971-2105"
"Q05860"	"2JUP P=881-888"
"P32507"	"4FMK A=32-250"
"Q99PF4"	"2WBX A=24-124"
"Q60770"	"2PJX A/B=1-592"
"P63279"	"1A3S A=1-158"
"P10828"	"1BSX A/B=202-461"
"P97333"	"4GZ9 A=22-586"
"P11474"	"1XB7 A=193-423"
"Q13094"	"1H3H B=232-241"
"Q8VDG3"	"1UG8 A=169-242"
"P19878"	"1E96 B=1-203"
"P97318"	"1NTV A=23-174"
"P25963"	"1IKN D=67-302"
"P63212"	"1GG2 G=1-71"
"P21675"	"1EQF A=1359-1638"
"P05106"	"1JV2 B=27-718"
"P09581"	"3EJJ X=20-296"
"Q62074"	"4DC2 A=231-595"
"Q61166"	"1V5K A=17-116"
"P01101"	"2WT7 A=138-200"
"P10276"	"1DKF B=182-416"
"Q9WTL8"	"4F3L B=69-453"
"P40855"	"2W85 B=66-77"
"Q9QUI0"	"4F38 A=1-191"
"P07207"	"1OT8 A/B/C=1901-2139"
"P26039"	"1SJ7 A/B/C=482-655"
"P70444"	"1DDB A=1-195"
"Q8R418"	"3C4B A=1647-1910"
"Q4FZB7"	"3S8P A/B=63-335"
"P70168"	"1GCJ A/B=1-449"
"P43488"	"2HEW F=51-198"
"Q921E6"	"2QXV A=81-441"
"Q920Q2"	"2LSG A=1150-1249"
"Q9D0J4"	"1KSG A=1-184"
"Q9HCH5-3"	"3BC1 B/F=10-62"
"P06401"	"1A28 A/B=678-933"
"Q00560"	"2HMH B=753-763"
"Q92934"	"1G5J B=103-127"
"P15919"	"1RMD A=265-380"
"P10085"	"1MDY A=102-166, B/C/D=105-166"
"P25801"	"1J2O A=26-87"
"O08785"	"4F3L A=26-384"
"Q90VU7"	"4EMZ B/C=1-206"
"P08581"	"1FYR I/J/K/L=1356-1359"
"Q13625"	"1YCS B=892-1128"
"Q9Y2Q3"	"1YZX A/B=1-226"
"Q8IXJ6"	"1J8F A/B/C=34-356"
"Q62048"	"2LS7 A=1-90"
"Q99814"	"1P97 A=240-350"
"O75530"	"3IIW A=77-441"
"P46060"	"1Z5S C=418-587"
"Q9CW03"	"2WD5 B=484-696"
"Q9JKF6"	"2L7J A=241-334"
"P51532"	"2GRC A=1448-1575"
"P10415"	"1G5M A=1-207"
"Q03526"	"1AWJ A=160-236"
"P25911"	"2ZV7 A=239-512"
"Q9ERE7"	"2I9S A=89-184"
"P97291"	"1ZXK A/B=63-159"
"P27040"	"1S4Y A/C=23-120"
"Q9JIK5"	"3ZIN B/C=839-851"
"Q62245"	"1GBQ B=1135-1144"
"Q93068"	"1A5R A=1-101"
"Q9QZ88"	"1Z2W A/B=1-182"
"Q08048"	"2QJ4 A/B=29-210"
"Q16665"	"1D7G D=15-73"
"Q80Z64"	"2VI6 A/B/C/D/E/F/G/H=96-155"
"Q9QZL0"	"4M66 A/B=1-313"
"O35973"	"4DJ2 A/B/C/D=191-502"
"Q8BSQ9"	"2YQD A=650-762"
"Q9R194"	"4I6E A=1-512"
"Q96NW4"	"4B93 B=659-921"
"P35400"	"2E4Z A=33-521"
"P31266"	"3BRG C=53-474"
"P42567"	"1KYF P=627-632"
"Q15768"	"4BKF C/D=27-169"
"Q9Z0J4"	"2O60 B=725-747"
"Q61160"	"1FAD A=89-183"
"Q9JLB9"	"3AXA A/B=544-549"
"P42703"	"2Q7N A/C=50-529"
"P32300"	"4EJ4 A=36-342"
"Q60631"	"1GBQ A=1-59"
"O43521"	"1F95 C/D=108-116"
"O43896"	"2G1L A=498-599"
"P21803"	"4HWU A/B=45-127"
"Q99NH2"	"2KOH A=581-689"
"O35305"	"3ME2 R=26-210"
"P15806-2"	"2QL2 A/C=547-606"
"Q9NUX5"	"1XJV A=6-299"
"Q07813"	"2XA0 C/D=52-82"
"P35222"	"1G3J A/C=133-664"
"Q9UBL3"	"3RSN A=96-271"
"Q15788"	"1FM6 B/E/V/Y=676-700"
"P10721"	"1PKG A/B=549-931"
"Q9H2K2"	"2Y0I S=538-558"
"P70206"	"3RYT A/B=1269-1894"
"Q99KQ4"	"2GVL A/B=1-491"
"Q9HC52"	"3I91 A/B=8-61"
"Q96KQ7"	"2O8J A/B/C/D=913-1193"
"P70399"	"1SSF A=1463-1617"
"P00514"	"1APK A=2-380"
"P07155"	"1AAB A=2-84"
"Q76MZ3"	"2IAE A/D=1-589"
"Q60838"	"3ML6 A/B/C/D/E/F=417-510"
"Q99JB6"	"4I1L A=189-276"
"Q08945"	"4IFS A=196-430"
"P25942"	"1CDF A=24-144"
"Q6W2J9"	"3BIM I/J/K/L/M/N/O/P=498-514"
"Q8BTI9"	"2Y3A A=1-1064"
"Q9VM64"	"2IBB A=466-676"
"Q60598"	"2F9X A=1-546"
"P40189"	"1BJ8 A=219-325"
"Q8K4Z3"	"2DG2 A/B/C/D/E/F=25-282"
"O88273"	"4JPH A/B/C/D=22-168"
"O54943"	"3GDI A/B=170-473"
"Q8R4K2"	"1WH4 A=1-114"
"P29477"	"1DD7 A=114-498"
"Q14980"	"3RO2 B=1899-1926"
"P63280"	"1U9A A=1-158"
"Q04207"	"1BFT A/B=191-291"
"P52294"	"2JDQ A/B=66-512"
"Q13546"	"4ITH A/B=1-294"
"Q62264"	"3ONT A=1-150"
"Q9IH62"	"2VSM A=188-602"
"Q96AP0"	"2I46 A/B=90-250"
"P50570"	"2YS1 A=520-625"
"O08583"	"1NO8 A=77-182"
"P62991"	"3AI5 A=1-74"
"P62873"	"4KFM B=1-340"
"Q99ML1"	"2ROC B=130-155"
"Q99062"	"1AZ7 A=125-331"
"P63005"	"1UUJ A/B/C/D=1-86"
"Q9WUB0"	"3B08 B/E/H/K=192-250"
"Q9CU62"	"2WD5 A=461-685"
"Q99P58"	"2IEY A/B=1-193"
"Q9QZ85"	"1TPZ A/B=1-411"
"P62881"	"2PBI B/D=43-395"
"P10820"	"3NSJ A=21-554"
"P06400"	"1AD6 A=378-562"
"P39447"	"2RRM A=18-110"
"Q8CIX8"	"2J9I A/B/C/D/E/F/G/H/I/J/K/L=141-563"
"Q6AZB0"	"1X4Y A=707-807"
"P63017"	"3CQX A/B=1-381"
"P60605"	"3FSH A/B=1-165"
"P20823"	"1IC8 A/B=85-278"
"P81122"	"3BU3 B=620-634"
"P15208"	"1LK2 P=423-430"
"O75460"	"2HZ6 A=24-390"
"Q8TEK3"	"1NW3 A=1-416"
"Q8R5F7"	"3TS9 A=545-697"
"P49792"	"1RRP B/D=1171-1304"
"Q07120"	"2KMK A=312-393"
"Q07440"	"2VOF A/C=1-152"
"P62881-2"	"2PBI B/D=43-395"
"Q62120"	"2HDX G/H/I/J/K/L=810-820"
"O88689"	"1WUZ A=27-129"
"P63000"	"1E96 A=2-192"
"P84228"	"2V86 D/E=2-10"
"Q80VC9"	"1UGJ A=1112-1240"
"P60709"	"3BYH A=2-375"
"P15927"	"1DPU A=172-270"
"P27601"	"1SHZ A/D=49-299"
"Q4KMG0"	"3D1M C/D=826-924"
"P55072"	"3EBB E/F/G/H=797-806"
