"4AG7"	"1PUG"
"1D4X"	"1OJ7"
"2QSA"	"1I01"
"4GQT"	"1AJ6"
"1K76"	"1W78"
"4DHI"	"3EUH"
"2KWB"	"2AJG"
"1ZL9"	"2KVT"
"3C2G"	"1RYK"
"1WK1"	"3T88"
"2O3J"	"3AWI"
"1T7S"	"4HG0"
"2M05"	"1ML5"
"3PYI"	"1QOR"
"2OP6"	"2DY0"
"3K6T"	"1A23"
"1KT9"	"1G0S"
"4F1I"	"3DHW"
"2HB6"	"2ID0"
"1JTH"	"1B0A"
"1OHU"	"2OAU"
"2FO1"	"3VGZ"
"2BDW"	"1EK9"
"1AHR"	"1MT0"
"1J7D"	"1T98"
