"1A0R"	"1VLP"
"1G4Y"	"3IAB"
"2UZG"	"1X3W"
"2KBW"	"4H61"
"1OWX"	"3G5T"
"2AWW"	"2BF4"
"1I37"	"2J6A"
"1T0H"	"1SCG"
"1BMQ"	"4N5A"
"1A4R"	"3HTK"
"2FF9"	"3TVT"
"1AJI"	"1K5X"
"2LAH"	"1K5Y"
"121P"	"2GA8"
"4KFM"	"2L6J"
"2A20"	"2M3F"
"3GDI"	"1K5Y"
"2BCJ"	"1ZW8"
"2PJX"	"3IAB"
"2MAK"	"1JHJ"
"1C9H"	"3HYM"
"4ATX"	"4K6N"
"1BY4"	"4FD3"
"2A72"	"2K3J"
"2BV1"	"2R17"
"2JNU"	"3FFL"
"1M5Z"	"1PYI"
"2H9R"	"3G3O"
"1NMJ"	"1MN3"
"2LUI"	"2XJP"
"1GCJ"	"3OPT"
"1AJ5"	"3GRE"
