"1D4X"	"1A6X"
"1H0P"	"1ODD"
"4GQT"	"2QCZ"
"2KJI"	"2BH8"
"2BDW"	"1Q12"
"1Z2U"	"2AKH"
"4DHI"	"2AKH"
"1OOJ"	"1NNX"
"2B34"	"2ZCU"
"2O3J"	"1VH4"
"4L15"	"1TQ5"
"2P32"	"2KJ8"
"1T7S"	"1LOP"
"2M4N"	"3TKA"
"1KT9"	"1D1R"
"4F1I"	"1B79"
"4M9R"	"1JNS"
"2FO1"	"3DMQ"
"2BDW"	"1M5G"
"1AHR"	"1K6K"
"1XHL"	"1PS9"
"1ZL9"	"1HRU"
"1EMS"	"3T88"
"2M05"	"1EG0"
"1UOC"	"3V8V"
"3QWX"	"1EG0"
"3KL8"	"3DF2"
"1J7D"	"1VHM"
