"3EY9"	"1TK1"
"3DF2"	"1F60"
"2IS3"	"1FI4"
"1P85"	"3H0X"
"1ZVT"	"2QLT"
"1VUB"	"3GRE"
"1GRJ"	"1NYH"
"4DJI"	"4IN3"
"1L1P"	"4F6O"
"1ML5"	"3J47"
"3DJL"	"3W15"
"3N75"	"1OXB"
"2ASR"	"2O0A"
"3CW0"	"2DLC"
"1IWM"	"1YNZ"
"1AB4"	"3P9D"
"2JHE"	"3BWT"
"1B62"	"2I3S"
"1M5G"	"1BQ3"
"1DPS"	"3W3T"
"1ACC"	"2QFV"
"3DF2"	"3P9D"
"2QCU"	"3DGP"
"1NN4"	"2J16"
"3T88"	"1A1U"
"1QU9"	"1JKF"
"1NMO"	"1NEX"
"2G6V"	"2X19"
"1A4R"	"3ED3"
"1NXE"	"1JR8"
"1ODD"	"1ZW8"
"1AZO"	"4K1C"
"1EK8"	"1YPS"
"1E9F"	"2HLD"
"1VBV"	"1VLU"
"1I2N"	"2KGN"
"1OVX"	"1D8B"
"1D6M"	"1JEH"
"1V57"	"2K8Q"
"1BO5"	"1W1W"
"1NY8"	"1X3W"
"1B0A"	"3CUE"
"3DMQ"	"1FNT"
"3DMQ"	"1FHR"
"2ROQ"	"2HQM"
"1ML5"	"2PFF"
"2AJG"	"4A9A"
"1SG2"	"1KXL"
"2X86"	"3IKO"
"3F4L"	"2WW9"
"1ML5"	"1IFW"
"1RRM"	"1K5X"
"4DAP"	"1ZHT"
"2RDO"	"1FNT"
"2KC8"	"1K5X"
"2JVV"	"2I5K"
"1A91"	"3LGO"
"1C14"	"2Z4D"
"1BS4"	"1AWI"
"1M5G"	"4FI1"
"3BM1"	"3J65"
"1FIY"	"2QJX"
"1A2N"	"1JAT"
"1ML8"	"2L9Q"
"1Q12"	"1K5Y"
"1BXW"	"3N2D"
"1KG2"	"2VDU"
"1A0O"	"2A0T"
"1NS5"	"1NHY"
"1PFK"	"2WW9"
"1DI6"	"1ODF"
"3J0T"	"4C2M"
"2PJP"	"1AP8"
"3DF2"	"1PVD"
"2P7V"	"1PAQ"
"1CQI"	"1DP5"
"1DJR"	"2APO"
"1M41"	"3FWB"
"2QCZ"	"1W1N"
"1XDO"	"1SXJ"
"3EYW"	"1BS2"
"1DD8"	"3SBS"
"1EBL"	"2L5A"
"1WXE"	"1FNT"
"2LFV"	"3B5N"
"1M5G"	"3P9D"
"2AR0"	"3GGY"
"1AQT"	"1G16"
"1E1O"	"1PLQ"
"1NI7"	"4FD3"
"1F9Z"	"3G9G"
"1P85"	"3P9D"
"1B00"	"2KKM"
"1BA2"	"1FCB"
"3C0K"	"4C9G"
"1C21"	"2HES"
"2AKH"	"2K0A"
"1NP6"	"2KBE"
"2OAU"	"1I45"
"1ML5"	"3GL1"
"3I9W"	"1EJB"
"2VH1"	"1YJO"
"1D2F"	"1EZV"
"1KQF"	"3C2E"
"1OR7"	"1K5X"
"1EG0"	"2AJ4"
"1Y00"	"1Z45"
"2EHJ"	"3UO2"
"1BQ0"	"2YNN"
