"1A1D"	"1KW4"
"3CPJ"	"3J39"
"1EUV"	"3J38"
"1BQ3"	"1LPV"
"1NLT"	"2A90"
"4C8Q"	"3J38"
"3HIB"	"3J38"
"2OG4"	"4BWP"
"1M2O"	"3J38"
"1KXL"	"3J38"
"3WHK"	"3J39"
"1L8X"	"1IHJ"
"1OXB"	"3J38"
"3K49"	"1AZE"
"1XTZ"	"1MXE"
"3ONJ"	"3J39"
"1AW6"	"3J39"
"3P9D"	"3J39"
"3J16"	"1EX6"
"2VGM"	"2LWR"
"3FMA"	"1HKS"
"1K5Y"	"1NLQ"
"2FH0"	"1D2Z"
"1HR6"	"2BYK"
"3BCY"	"1JD6"
"1ORZ"	"1HL6"
