"1B9X"	"4I1X"
"1AGR"	"1AYA"
"1YAG"	"1PU6"
"1D8D"	"1QWL"
"1A93"	"3USW"
"2H0B"	"1Z8M"
"2CJW"	"2NQO"
"1ZUB"	"3IEC"
"1SHZ"	"2PT7"
"1ERK"	"2BHV"
"1FTJ"	"3MYD"
"3C98"	"1E9Y"
"1E42"	"2ATZ"
"1IHC"	"3K1H"
"2SHP"	"2K0Z"
"4JJR"	"1G6O"
"3M2M"	"2EVV"
"1BE9"	"3IQC"
"1NMJ"	"1YGZ"
"1PB7"	"3RPF"
"3E7A"	"4FYB"
"3GDI"	"2WGL"
"1GAG"	"3KU7"
"1NJ3"	"4G3H"
