"Q9UKE5"	"2X7F A/B/C/D/E=1-325"
"Q99K10"	"3B3Q A/B=46-635"
"Q15628"	"1F2H A=1-169"
"Q9GZX6"	"1M4R A/B=29-179"
"O75815"	"3T6A A/B/C/D=502-825"
"O15431"	"2LS2 A=64-87"
"P62871"	"1A0R B=2-340"
"P02570"	"3J0S A/B/C/D/E/F/G/H/I/J/K/L=2-375"
"O75496"	"1T6F A/B=110-145"
"Q9UKL3"	"2LR8 A=1916-1982"
"Q8IUX4"	"4IOU A/B/C/D=185-373"
"P60010"	"1YAG A=1-375"
"P29083"	"1VD4 A=113-174"
"P55735"	"3BG0 A/D/E/H=1-316"
"P18510"	"1ILR 1/2=26-177"
"P62995"	"2CQC A=110-191"
"P60706"	"3J0S A/B/C/D/E/F/G/H/I/J/K/L=2-375"
"P22290"	"3RRC A/B=211-525"
"P26992"	"1UC6 A=202-305"
"P38936"	"1AXC B/D/F=139-160"
"Q02363"	"4AYA A/B=1-82"
"Q13127"	"2CZY B=43-57"
"Q13426"	"1FU1 A/B=1-203"
"P19438"	"1EXT A/B=41-201"
"O55128"	"4A6Q A=6-143"
"Q6PL18"	"3DAI A=981-1108"
"P01100"	"1A02 F=139-193"
"P62509-1"	"1S9P A/B/C/D=232-458"
"P08588"	"2LSQ A=199-215"
"P02647"	"1AV1 A/B/C/D=68-267"
"P40937"	"1LFS A=1-340"
"Q9Y3I1"	"4L9C A/B=180-335"
"P23528"	"1Q8G A=1-166"
"P60201-1"	"2XPG C=45-53"
"P02778"	"1LV9 A=22-98"
"Q8N5H7"	"3T6G A/C=539-860"
"P35968"	"1VR2 A=806-1171"
"Q8AZ57"	"3KAS B=83-244"
"O43516"	"2A41 C=29-60"
"P62805"	"2BQZ B/F=18-26"
"Q8WZ42"	"1BPV A=22283-22385"
"P39688"	"3UF4 A=81-239"
"P23415"	"1MOT A=277-304"
"Q9Y6D6"	"3LTL A/B=691-889"
"P25491"	"1NLT A=103-350"
"O15054"	"2XUE A/B=1141-1643"
"P55211"	"1JXQ A/B/C/D=140-416"
"P53667"	"3S95 A/B=330-637"
"O43617"	"1SZ7 A=2-180"
"P35225"	"1GA3 A=35-146"
"Q12756"	"4EGX A/B/C/D=430-607"
"P23468"	"1X5Z A=506-607"
"P24468"	"3CJW A=175-414"
"P35916"	"4BSJ A=328-553"
"P43490"	"2E5B A/B=1-491"
"Q96RN5"	"2GUT A=5-78"
"Q16512"	"1CXZ B=13-98"
"Q9UHI6"	"2OXC A/B=41-268"
"P42224"	"1BF5 A=136-710"
"P55884"	"2KRB A=184-264"
"P12814"	"2EYI A=30-253"
"Q676U5"	"4GDK C/F=11-43"
"Q96RL1"	"2RR9 C=79-124"
"Q29122"	"2BKH A=2-816"
"Q99962"	"1X03 A=1-247"
"P19875"	"1QNK A/B=39-107"
"Q01484"	"4D8O A=966-3653"
"P01854"	"1F6A B/D=211-428"
"Q9NPH3"	"3O4O B=21-350"
"Q92583"	"1NR2 A/B=24-94"
"P13765"	"4I0P D/H=30-218"
"Q9UGJ1"	"3RIP A=1-667"
"Q9P289"	"3GGF A/B=1-300"
"P29320"	"2GSF A=577-947"
"P51812"	"4D9T A=399-740"
"Q13563"	"2KLD A=680-796"
"P37173"	"1KTZ B=38-159"
"Q61188"	"2QXV B=39-68"
"P07155"	"1AAB A=2-84"
"Q9NZQ7"	"3BIK A=18-239"
"O75533"	"2F9D P/Q=373-415"
"Q92692"	"3R0N A=32-158"
"P42081"	"1I85 A/B=26-134"
"P17480"	"1K99 A=103-192"
"P18887"	"1CDZ A=538-633"
"P21146"	"1OMW A=1-689"
"P27352"	"2CKT X=19-417"
"Q08345"	"3ZOS A/B=601-913"
"Q9BXL7"	"4LWD A=18-110"
"P0A0L2"	"1DYQ A=25-257"
"Q15233"	"3SDE B=53-312"
"P47992"	"1J8I A=22-114"
"P48552"	"2GPO C=366-390"
"Q56061"	"3CXB A=1-336"
"Q9UBD6"	"3HD6 A=2-479"
"P48730"	"3UYS A/B/C/D=1-294"
"P14784"	"1ILM B=31-230"
"Q9UBN7"	"3C5K A=1109-1215"
"Q5VVJ2"	"2CU7 A=117-181"
"Q9JXV4"	"2W80 C/D/F/H=71-320"
"P43489"	"1D0A G/H/I/J/K/L=262-266"
"P29466"	"1BMQ A=131-297, B=317-404"
"P10599"	"1AIU A=1-105"
"Q9Y285"	"3L4G A/C/E/G/I/K/M/O=1-508"
"Q96GD4"	"4AF3 A=55-344"
"P27986"	"1A0N A=91-104"
"Q7KZI7"	"3IEC A/B/C/D=49-363"
