"3U9G"	"3J39"
"1KIL"	"1PDU"
"1Y0M"	"3ZPV"
"1NMJ"	"2NQB"
"2AWW"	"1HG4"
"2LW9"	"2LWR"
"3T8S"	"1DVP"
"1GAG"	"2FF6"
"1DF0"	"2WBR"
"1KDX"	"1Q4K"
"2EE2"	"4A8X"
"1FJM"	"1AHD"
"3JXF"	"1D2Z"
"1M5Z"	"1R6Z"
"2PJX"	"1Q4Q"
"2SHP"	"1ALM"
"2D31"	"2KOM"
"1NMJ"	"2NQB"
"1NWQ"	"1AT0"
"2LUI"	"4I7B"
"2A5S"	"1BY4"
"1K78"	"1L3W"
"1N1A"	"2EAN"
"1AJ5"	"1R4K"
