"3BGH"	"1NYH"
"3USW"	"4BH6"
"2K0Z"	"2JVB"
"3P9Z"	"1UQV"
"2B7N"	"1HQZ"
"3CYP"	"1FNT"
"2GTS"	"4C8Q"
"3L9Z"	"2X19"
"3MYD"	"1A4H"
"1YG0"	"4C8Q"
"2K6P"	"3IZS"
"2PT7"	"1R5M"
"2CA9"	"1I3Q"
"3RPF"	"1E6I"
"4I1X"	"3NYB"
"2BHV"	"1I3Q"
"2VW9"	"2FH9"
"3RRL"	"1I3Q"
"4HI0"	"1O6O"
"2H9Z"	"4C8Q"
"4G3H"	"4DGW"
"1QWL"	"1XLY"
"1PU6"	"4K51"
"1OUV"	"1Q67"
