"3SF5"	"3EJJ"
"4I1X"	"3B3Q"
"2WGL"	"1HMC"
"2GTS"	"1N4K"
"3IQC"	"3GJX"
"3QDL"	"1AQ1"
"2JGQ"	"4EDQ"
"3BGH"	"1K78"
"4FYB"	"1ALM"
"3RRL"	"2D31"
"3CEI"	"4GZ9"
"1G6O"	"1A1U"
"3GWG"	"3BC1"
"3RPF"	"1KHC"
"2I9I"	"1XK5"
"2PT7"	"1GBQ"
"2K0Z"	"1GL2"
"1YG0"	"2I46"
"2B7N"	"2BU0"
"3CYP"	"2WD5"
"4G3H"	"1JV2"
"2ZL0"	"1BTN"
"2UVP"	"3AFC"
"2WP0"	"3AL8"
"1QWL"	"1AWC"
"1OUV"	"1CMK"
"2EVV"	"1KKQ"
