"1CDZ"	"3MYD"
"1JTH"	"4FYB"
"1ZC0"	"2WP0"
"2BP5"	"1G6O"
"3EN3"	"2CA9"
"1C1Y"	"3QHP"
"1BW8"	"3CEI"
"1NMJ"	"4HI0"
"1EPW"	"2K6P"
"4J8C"	"3IEC"
"1WYO"	"2UVP"
"2KNB"	"4I1X"
"2QZV"	"2GTS"
"1TXF"	"3RPF"
"1DF0"	"2JGQ"
"1AF3"	"1E9Y"
"1AGR"	"1YG0"
"2A1R"	"3RPF"
"1G4Y"	"1YGZ"
"1BNO"	"2VW9"
"1D8D"	"2ATZ"
"4ATX"	"3GWG"
"1SM2"	"2Q0K"
"2A72"	"1UM8"
"2DLV"	"3LLW"
"1Z0M"	"4G3H"
"2H9R"	"1QWL"
"4JJR"	"2BHV"
"1DCE"	"2B7N"
"3SO6"	"3RRL"
"2X5Y"	"1AYA"
