"4AG7"	"3EUH"
"1D4X"	"1A6X"
"1H0P"	"1ODD"
"4GQT"	"2QCZ"
"2BDW"	"1Q12"
"1Z2U"	"1JNS"
"4DHI"	"2AKH"
"1OOJ"	"3HYR"
"2B34"	"1KG2"
"2O3J"	"1VH4"
"2P32"	"2KJ8"
"3K6T"	"3JZ4"
"2M4N"	"3TKA"
"1KT9"	"1D1R"
"4F1I"	"1B79"
"1JTH"	"1K6K"
"4M9R"	"1JNS"
"2FO1"	"1HZE"
"1AHR"	"1AB4"
"1XHL"	"1PS9"
"2M05"	"1EG0"
"2OP6"	"1GG1"
"1L7Y"	"1VT2"
"1UOC"	"3V8V"
"1OHU"	"2KQX"
"3QWX"	"1P85"
"3KL8"	"1CY0"
"1J7D"	"1D9E"
