"4AG7"	"1H6G"
"1D4X"	"1GZH"
"4GQT"	"2YYN"
"2BDW"	"2L4Z"
"1K76"	"1DFC"
"4DHI"	"3UTM"
"2KWB"	"2CCH"
"1GRW"	"3B21"
"2B34"	"1WF6"
"2O3J"	"1IMH"
"4L15"	"1F81"
"1SPX"	"1ZRJ"
"3PYI"	"1WYW"
"2M4N"	"2ODT"
"1KT9"	"2OJW"
"4F1I"	"1AJI"
"2HB6"	"2L0Y"
"4M9R"	"2O8B"
"2FO1"	"2KBI"
"2BDW"	"1TXU"
"1AHR"	"1YZT"
"1XHL"	"1F95"
"1WK1"	"3GCG"
"1EMS"	"4BGC"
"2OP6"	"3CXD"
"2LYC"	"1JWH"
"2W9Y"	"1FHA"
"1L7Y"	"2BUJ"
"1UOC"	"1H6H"
"1OHU"	"3THW"
"3QWX"	"1XW3"
"3KL8"	"1P4U"
"1J7D"	"2Y0I"
