"2X7F"	"1HR9"
"1F2H"	"2QK1"
"1A0R"	"3GRE"
"1AXC"	"1YGA"
"1LV9"	"1WA5"
"1VR2"	"2VKN"
"1BPV"	"2ELJ"
"1MOT"	"3CUE"
"3LTL"	"1FNT"
"3S95"	"3GX8"
"1X5Z"	"2KZK"
"1X03"	"4M8O"
"1F6A"	"3IZB"
"3GGF"	"2LLV"
"2KLD"	"1N5Z"
"2F9D"	"1FNT"
"3ZOS"	"2BKW"
"4LWD"	"1EUV"
"3SDE"	"1M2V"
"1J8I"	"2VDU"
"2GPO"	"1AY0"
"3HD6"	"4A8J"
"1D0A"	"1PJD"
"1PME"	"1K4Z"
"2L5I"	"2LO6"
"1J42"	"1G8F"
"1A81"	"2LBW"
"1DYN"	"1ERJ"
"1AKJ"	"1OTR"
"1BBY"	"2XGJ"
"2WGH"	"2P4Q"
"1PF6"	"1IST"
"2X5Y"	"3N4R"
"1YWH"	"4C2M"
"1CNT"	"1LDD"
"1YJD"	"4DGW"
"1YCS"	"1O6W"
"1RRB"	"1SCG"
"1GYK"	"2ZD7"
"1HDM"	"2FXT"
"4JW1"	"1AKY"
"1BP3"	"3IZB"
"2H0D"	"1SCG"
"1YCS"	"2JKD"
"2Y5W"	"1I12"
"3FRR"	"2EXU"
"1BD9"	"3OPB"
"1MDU"	"1DMZ"
"1E87"	"2HJH"
"3BJ4"	"2Y9M"
"2BQ0"	"4BH6"
"1RKC"	"1OOT"
"2L5G"	"1JAT"
"2D9N"	"4GNS"
"2ED7"	"1RUW"
"2WX3"	"2J49"
"2HLQ"	"1ZPU"
"2LCR"	"2DYM"
"1YDL"	"4K51"
"3IYN"	"3IZQ"
"2AQL"	"3IZS"
"3MTS"	"2FSB"
"2DBH"	"1EBF"
"1ZVD"	"4IFD"
"2CU8"	"2CG9"
"2VX8"	"2PK9"
"2B9R"	"3F7F"
"4EFO"	"1UQV"
"4HPL"	"3CUE"
"1LC9"	"1PVD"
"1AYB"	"3SBS"
"1NI2"	"1U5T"
"2QIC"	"3GAE"
"1VEC"	"1UKV"
"1AYK"	"1K0K"
"1WJ4"	"1JEH"
"1CFF"	"1K5Y"
"1KKY"	"2CKZ"
"1NGR"	"2Y9M"
"1JV2"	"1FNT"
"4HWU"	"1FCB"
"1POZ"	"1EK0"
"1BHD"	"1M4Z"
"4H10"	"2RNN"
"1KSQ"	"1C9B"
"4HMY"	"1L8X"
"1UWH"	"1Z45"
"2BCK"	"3U28"
"4DLO"	"2Y9Y"
"2KXC"	"2WOJ"
"1BV8"	"3EYX"
"1P8D"	"3OLM"
"1CI6"	"2D2S"
"3MMY"	"2V3J"
"1WLX"	"3K10"
"3VI3"	"1IP9"
"4DN5"	"1YAT"
"1AIL"	"4C2M"
"1EFV"	"3U5C"
"2REY"	"3M1I"
"3GHM"	"2LJ5"
"1L2J"	"1GY7"
"3R9M"	"1PQS"
"2DO3"	"4MHC"
"3LUC"	"1NLT"
"1D4U"	"4CR3"
"3OW8"	"1NGM"
"1A3S"	"1ZUK"
"1SM3"	"1K5Y"
"2K9A"	"3TVT"
"1DG3"	"3ERF"
"1C3D"	"3ICF"
"1XB7"	"1A0A"
"3EPZ"	"4HNW"
"1E96"	"1F9T"
"1A07"	"1IFW"
"1IKN"	"3RM5"
"2B05"	"2JA9"
"1D0G"	"1TK1"
"1XW3"	"1K5Y"
"2L2I"	"2UCZ"
"2D57"	"1OF5"
"1W9C"	"3P9D"
"2OVP"	"2HRA"
"2DK3"	"1NH2"
"2CKC"	"1QQE"
"1P27"	"3FMA"
"2L0Y"	"1SSH"
"1RZ4"	"1M2O"
"1EVS"	"2OD8"
"2QQJ"	"1FPW"
"1WM2"	"4C2M"
"4JOI"	"3BLV"
"2GI7"	"1O6O"
"1ITF"	"2ER8"
"2HEW"	"3U5C"
"1LU7"	"1FA0"
"2IAE"	"1ID3"
"2UZG"	"4IFD"
"1V05"	"1SCG"
"1G5J"	"4CR2"
"1JEQ"	"3J47"
"3AJM"	"1NYH"
"2DYP"	"1U5T"
"1PWA"	"1BOB"
"2F15"	"1A2F"
"1H24"	"1AP8"
"1Z5S"	"3B5N"
"4GVC"	"1OIS"
"1CF7"	"1FNT"
"2YYN"	"3O8O"
"3TNU"	"2HQT"
"1G5M"	"3MKQ"
"3MAX"	"1Q67"
"2V77"	"2C5Q"
"3DXR"	"1EJ8"
"1S4Y"	"2QUQ"
