"2X7F"	"1G16"
"3G9V"	"4K25"
"3DGC"	"1VAD"
"2LS2"	"4H61"
"2YPA"	"4C2M"
"1GG3"	"4FD3"
"1T6F"	"1EX6"
"4GQB"	"1I3Q"
"2B5L"	"3M1I"
"1PFJ"	"1UKV"
"1E9H"	"2C5I"
"1UC6"	"1XTZ"
"2JVX"	"3OLM"
"1LD2"	"1DMZ"
"1IK9"	"3ED3"
"1EXT"	"3IKO"
"1NB0"	"1FCB"
"3A1F"	"1AKH"
"1A52"	"1QQE"
"1A02"	"1BK5"
"1FM6"	"1U5T"
"1D7G"	"1Y5O"
"2LSQ"	"3ONG"
"4L9C"	"3CTF"
"1FQV"	"2WOJ"
"1GQ5"	"1O6O"
"2X1W"	"1EZV"
"2BQZ"	"1N5Z"
"2YYN"	"3B5N"
"1TEY"	"3W15"
"1FAU"	"3J65"
"2CPC"	"4GNS"
"1V1C"	"4K6N"
"1A1U"	"4BJ1"
"4JPH"	"1C9B"
"1O4X"	"1ZX2"
"1A4R"	"2BF4"
"1CP3"	"1UQV"
"3LB6"	"3F3K"
"1H10"	"1EUV"
"2I0E"	"1E0N"
"1H6P"	"2LI5"
"1BJ8"	"2PJW"
"1FG9"	"1K5X"
"1JM7"	"1NEX"
"2G47"	"4HT6"
"1MDI"	"1SSH"
"1NR2"	"3IAY"
"1AJI"	"4M77"
"2KLD"	"4IJC"
"2E5P"	"2LWX"
"1AAB"	"1NGM"
"3E7A"	"2PK9"
"1CDZ"	"3G3O"
"3KQ4"	"1SCG"
"2L33"	"2LJ5"
"3ZOS"	"2L6J"
"3SDE"	"1ORZ"
"1ILM"	"2DLC"
"1ILM"	"2APO"
"1BMQ"	"2AX5"
"1BIX"	"1EUV"
"1C1Z"	"1A3W"
"4BKF"	"1N9R"
"1Z2W"	"1AJY"
"2C2H"	"1JHJ"
"1UCH"	"3EPH"
"1RY7"	"2ZXT"
"1J42"	"3IZB"
"1DYN"	"2FJI"
"1JMQ"	"3T5V"
"1ALU"	"2VKN"
"1A1M"	"4DGW"
"1BYQ"	"2HLD"
"1BZI"	"1S4U"
"1TFI"	"1I12"
"2PK2"	"3U5C"
"2WX3"	"3A58"
"1UK0"	"3J1O"
"1J7V"	"1X3W"
"3S2K"	"2X19"
"1IPB"	"1ROC"
"1D5M"	"1YAA"
"1WYO"	"1X3W"
"1RJA"	"3DGP"
"2FK9"	"3GRE"
"1YCS"	"3UTN"
"1G5M"	"1YNZ"
"1MK3"	"2B7J"
"1RRB"	"2GA8"
"2BVA"	"3IZB"
"4FP9"	"3IZB"
"1A3Q"	"2A08"
"4GDK"	"1PYO"
"1A3Q"	"1ZUK"
"2L4Z"	"2AJ4"
"2W18"	"3BTS"
"1KPR"	"4DGW"
"1WXM"	"1CMX"
"2HDX"	"3EYX"
"1DFV"	"2M9V"
"1LDJ"	"1R5M"
"2EQR"	"3W3Y"
"1AAP"	"1YAG"
"2Z0U"	"2FL7"
"1S1E"	"3QML"
"4C0D"	"1SZP"
"2FOL"	"1JEH"
"1AN2"	"1K5Y"
"2H0D"	"1JQQ"
"3A2A"	"1K5Y"
"1RG6"	"1K5X"
"1RKC"	"1ASY"
"1B8M"	"1U5T"
"1SG1"	"1F9T"
"4K0R"	"2J04"
"1X8B"	"1VLP"
"1MDU"	"2NYC"
"1E96"	"2ELJ"
"1Y8Q"	"1K5Y"
"1Y5D"	"2Y9Y"
"2BQ0"	"3K49"
"3BZI"	"2XZL"
"4JQI"	"1DP5"
"3RO2"	"3IZQ"
"3RO2"	"2VGM"
"1YP0"	"4N5A"
"1BTE"	"1ZVF"
"1AIL"	"3NS5"
"1V66"	"3QT1"
"1A07"	"2C5I"
"1C4Z"	"3ONJ"
"1L3E"	"1MQS"
"1BF5"	"1K4Z"
"2LW8"	"4DGW"
"1FQV"	"3SJD"
"2JYW"	"3H0X"
"1BMP"	"2FTX"
"2JNG"	"4IN3"
"1IJT"	"2L0Y"
"2DJY"	"3T5V"
"4DKC"	"2JZC"
"3EJJ"	"1AUA"
"2OEV"	"1PQS"
"3GJX"	"2AXQ"
"1XK5"	"1FKM"
"2AQL"	"3ICF"
"1ERK"	"3U5C"
"2DBH"	"1SJ7"
"2AAV"	"2AIV"
"1ZVD"	"3FWB"
"1NFI"	"4DGW"
"2VX8"	"3BW1"
"2B9R"	"3K8P"
"4LJO"	"1QB3"
"1BHT"	"1CHH"
"1FYR"	"1A2F"
"4GHU"	"2LXB"
"1KZZ"	"1FPW"
"1M3V"	"2QUQ"
"4HPM"	"1YJO"
"2ZIU"	"1YKE"
"4EJ4"	"1K5X"
"2IPE"	"3ONK"
"1NI2"	"2WW9"
"1A0A"	"4JE3"
"1C9B"	"4IT3"
"1D2B"	"1JR8"
"1L1O"	"3CUE"
"3U84"	"1OOT"
"1H2I"	"3CUE"
"1EWI"	"2HJH"
"4AP2"	"4LJO"
"1AM9"	"3W3T"
"1JWH"	"2OG4"
"2DJB"	"1EDZ"
"1HJO"	"4C8Q"
"1FYJ"	"2I1A"
"2MB7"	"2FXT"
"3AVR"	"2ZD7"
"3LJB"	"4B89"
"1EG4"	"3B5N"
"1D4U"	"1H1J"
"1GXC"	"1N8P"
"1E91"	"1LXJ"
"1MKF"	"2XJP"
"3PHU"	"2WW9"
"4DPG"	"1YGA"
"2OOQ"	"2M3F"
"4F3L"	"1DVK"
"3UJZ"	"4CR3"
"1LH9"	"3HTK"
"1BHD"	"1NH2"
"1AUI"	"1NGM"
"1KSQ"	"1AKH"
"3B21"	"4J2W"
"1HU3"	"1AOI"
"2B1W"	"2BE1"
"3EQ5"	"4DS7"
"3IIW"	"3R7W"
"1X5N"	"2HCY"
"1R60"	"2KZK"
"2DAT"	"1SCG"
"4EGC"	"2VKN"
"2DT7"	"1RUW"
"2LNS"	"1CE9"
"4DLO"	"1EK0"
"2UX0"	"1K5X"
"1EJL"	"4G4S"
"2K2R"	"3O8O"
"1KKY"	"1ZXE"
"1Q4K"	"2JVB"
"3J3A"	"2RPN"
"3J3B"	"1ZHT"
"3SO6"	"3DGP"
"1E8Y"	"2QIZ"
"2P1L"	"3IZS"
"1EFV"	"1FNT"
"1EFV"	"2QJX"
"3RAU"	"2PQN"
"3C3Q"	"3GX8"
"2KPZ"	"1K5Y"
"3FDT"	"1FIO"
"2DIG"	"1I4W"
"1P22"	"4LIM"
"2CI9"	"2VDU"
"2LAZ"	"3FWB"
"1X6H"	"2AYU"
"3GHM"	"1SXJ"
"1CFG"	"3FLO"
"1AO3"	"1SXJ"
