"1E9Y"	"1DOW"
"3IEC"	"3TRZ"
"3CEI"	"2DDU"
"3P9Z"	"1DU6"
"1MHF"	"2LCT"
"3CYP"	"2WD5"
"4EHS"	"2Z8H"
"2GTS"	"121P"
"2ZL0"	"1JWH"
"4LPS"	"3FSH"
"3L9Z"	"3GAE"
"2UVP"	"1F66"
"3MYD"	"2WBS"
"1YG0"	"2I46"
"3QDL"	"2AGH"
"4FYB"	"1HU8"
"1KLX"	"1GL2"
"3GXV"	"2DKL"
"2CA9"	"2Z64"
"3RPF"	"4I1L"
"3SF5"	"1EDH"
"2BHV"	"3GJX"
"3QHP"	"1YZQ"
"3RRL"	"4DKL"
"3KU7"	"4ITH"
"4HI0"	"1E32"
"2H9Z"	"2RQ5"
"1UM8"	"3D12"
"3ZCI"	"1RJB"
"4G3H"	"1K11"
"2EVV"	"1IKN"
