"1AGR"	"2DIT"
"3U9G"	"1T0J"
"1YAG"	"1A6A"
"1Z9L"	"4EMZ"
"1G4Y"	"1Y96"
"1CDZ"	"1LM8"
"1KIL"	"1TXP"
"2DRN"	"3BES"
"3ZEV"	"1ZKH"
"2KBW"	"2BVA"
"1D8D"	"1EFV"
"1OWX"	"4KQZ"
"1JTH"	"2R17"
"1B8M"	"3SW9"
"2A41"	"1DYQ"
"1Y0M"	"1GQ4"
"2KMK"	"2KBI"
"1MKC"	"3WBP"
"1NMJ"	"1V1C"
"2F15"	"4JW1"
"3BIW"	"2ZIU"
"3DVK"	"3PCS"
"1I37"	"4BKF"
"2V8Q"	"2FOL"
"1SHZ"	"1E8O"
"1A4R"	"1D5M"
"1A29"	"1DLE"
"1R5S"	"1QBK"
"2FF9"	"2GFU"
"3C98"	"1AZ7"
"1ZC0"	"3QH9"
"2LAH"	"1D0G"
"1AB8"	"2OIT"
"1IGR"	"3LB6"
"2LW9"	"3RO2"
"1BE9"	"3J0S"
"1C1Y"	"2AWW"
"2E4Z"	"2KIU"
"1DCE"	"1BR5"
"2A20"	"3CXE"
"1NMJ"	"1B4R"
"4DX1"	"3FGA"
"1EPW"	"1CNT"
"1BYN"	"3E0G"
"1PB7"	"3R9M"
"4J8C"	"1ESL"
"3T8S"	"1N6H"
"1AJJ"	"1KHC"
"3LAF"	"3RO2"
"2FN5"	"2YL2"
"3SN6"	"1AJJ"
"1E0A"	"1DYN"
"3T97"	"3GEB"
"1BYY"	"2VUW"
"1NGR"	"1DJS"
"1B8Q"	"2LNS"
"1K4Z"	"1AQD"
"1ZUB"	"1CDH"
"2BDW"	"1ATU"
"3GDI"	"1JH5"
"1GAG"	"3BPN"
"1Y8F"	"1CSG"
"1BJ8"	"1IAR"
"1KDX"	"4F99"
"2CI8"	"1I85"
"1AF3"	"3CXB"
"2EE2"	"1D01"
"1YP0"	"1FVR"
"1S50"	"1YGR"
"2BU0"	"2NO2"
"2PJX"	"1J78"
"1GDC"	"3SPA"
"1MKE"	"1YJD"
"1RSO"	"3T5X"
"3FE2"	"2K7B"
"1Z9O"	"1W63"
"2IZX"	"1BF5"
"2DRN"	"1EKU"
"1G4Y"	"1A8I"
"1T0J"	"1D3B"
"2MAK"	"1Y96"
"1C9H"	"1B34"
"2K0C"	"2E73"
"1ALM"	"1EGG"
"1V5K"	"2DYP"
"1D8D"	"1EFV"
"1SM2"	"1AZS"
"2LVR"	"1B8Q"
"1HG4"	"3LQA"
"1BY4"	"1I16"
"2H0B"	"2MC3"
"1AMH"	"2KLD"
"2CJW"	"2WJW"
"1CDM"	"1IL7"
"1U4A"	"4BSO"
"1WYW"	"1IJY"
"2C4P"	"4KT1"
"2DLR"	"3GTT"
"2DLV"	"3CQX"
"1FJM"	"2KOH"
"4DEY"	"3J3A"
"3DVM"	"1H95"
"3DVE"	"2L5I"
"3JXF"	"3FJU"
"1Z0M"	"3NKU"
"3CX6"	"1E8O"
"1DDV"	"1C3D"
"1M5Z"	"1A8E"
"2H9R"	"2XPG"
"1JAS"	"1XQ8"
"2SHP"	"1GA3"
"4JJR"	"1XU1"
"2D31"	"1YA5"
"1NMJ"	"3CZU"
"1DCE"	"1HDJ"
"2LUI"	"4IFS"
"2D57"	"2KDD"
"2NM1"	"1UC6"
"1KEF"	"2LXM"
"2BVA"	"2KUM"
"1HJO"	"1E07"
"3D12"	"2ZFU"
"1K78"	"2FC7"
"1AZS"	"3SO6"
"1GG2"	"2P4E"
"1GCJ"	"4EGC"
"1CLM"	"2V86"
"3KL8"	"1AB9"
"1AJ5"	"2CQY"
"2G5M"	"2DN8"
"1S1E"	"2KA4"
"1F81"	"4F99"
"1NJ3"	"1UP5"
"1UKH"	"2ZXT"
"1A9U"	"1WP0"
"2K42"	"1DR9"
