"P07003"	"3EY9"
"P15277"	"1MJC"
"P00577"	"2AUK"
"P13482"	"2JF4"
"P02410"	"3DF2"
"P0ACB0"	"1B79"
"P13479"	"1BXI"
"P00453"	"1AV8"
"P28688"	"1XDO"
"P0AFL6"	"1U6Z"
"P31803"	"1Y00"
"P21170"	"3NZQ"
"P30014"	"2IS3"
"P02387"	"1P85"
"P0AFI2"	"1ZVT"
"P05703"	"1VUB"
"P07016"	"2CYU"
"P21346"	"1GRJ"
"P08576"	"1BDX"
"P43529"	"1QB5"
"P63235"	"4DJI"
"P10445"	"1NEK"
"P22257"	"1L1P"
"P25526"	"3JZ4"
"P12295"	"1EUG"
"P02429"	"1ML5"
"P33224"	"3DJL"
"P33136"	"1TXK"
"P23892"	"3N75"
"P07017"	"2ASR"
"P76174"	"3CW0"
"P30849"	"2R96"
"P61320"	"1IWM"
"P28630"	"1JQJ"
"P0ABP8"	"1A69"
"P08756"	"1IHF"
"P0A917"	"1ORM"
"P08885"	"4IJZ"
"P02371"	"1EG0"
"P02367"	"1M5G"
"P0AES6"	"1AJ6"
"P25716"	"1I01"
"P0A6P9"	"1E9I"
"P0AES4"	"1AB4"
"P0ACH5"	"1BL0"
"P07604"	"2JHE"
"P24236"	"2O1C"
"P31577"	"3EYW"
"P02914"	"1Q12"
"P23367"	"1B62"
"P0AAI9"	"1MLA"
"P02364"	"1M5G"
"Q9UTN9"	"3GVA"
"P0AEY3"	"3CRA"
"P23836"	"2PKX"
"P0AE78"	"4HG0"
"P0ADK6"	"1OYZ"
"P38038"	"1DDG"
"P37183"	"2KC5"
"P0AG80"	"4AQ4"
"P0AG48"	"1VS6"
"P78093"	"2Q27"
"P0ABT2"	"1DPS"
"P0A6P7"	"1PUI"
"P13423"	"1ACC"
"P31553"	"2WSX"
"P0ACG1"	"2LRX"
"P23003"	"3BT7"
"P0AA39"	"1V9K"
"P45470"	"1OI4"
"P30977"	"1RWU"
"P69908"	"1XEY"
"P07001"	"1X13"
"P17888"	"2D7E"
"P02414"	"3DF2"
"P00452"	"1QFN"
"Q47112"	"1M08"
"P36857"	"1I6O"
"P03004"	"1J1V"
"P02990"	"1D8T"
"P13035"	"2QCU"
"P37351"	"1NN4"
"P27290"	"3T88"
"P0ABQ4"	"1DDR"
"P0A722"	"1LXA"
"Q46896"	"3NKD"
"P0A8R0"	"1Q5X"
"P46130"	"3GRH"
"P0AG30"	"1A62"
"P0AAB4"	"2IDB"
"P0A9W9"	"3TIO"
"P18198"	"1EV0"
"P06975"	"2FU4"
"P27431"	"4NUB"
"P04993"	"1W36"
"O50190"	"2CI9"
"P02430"	"3DF2"
"P03020"	"1CGP"
"P00886"	"1GG1"
"P0AF93"	"1QU9"
"P39408"	"1ZZM"
"P00907"	"1A9X"
"P0A7A9"	"1FAJ"
"P80063"	"1XEY"
"P0ACE7"	"3N1S"
"P0AFP6"	"1NMO"
"P25539"	"2G6V"
"P06712"	"1R62"
"P60953"	"1A4R"
"P39164"	"1JX7"
"P09980"	"1UAA"
"P30850"	"2ID0"
"P00891"	"1NXE"
"P09376"	"1KY9"
"P03025"	"1ODD"
"P00951"	"1VBM"
"P20625"	"2ABK"
"P53554"	"3EJB"
"P06722"	"1AZO"
"P30176"	"2B3W"
"P10957"	"1A04"
"P0A6X7"	"1IHF"
"P11028"	"1ETK"
"P0AB77"	"1FC4"
"P0A7K2"	"1CTF"
"P0A805"	"1EK8"
"P33590"	"1UIU"
"P06993"	"1HZ4"
"P33937"	"2NYA"
"P0A7E1"	"1F76"
"P37345"	"1E9F"
"P06996"	"2J1N"
"P0AB20"	"1VBV"
"P0A870"	"1I2N"
"P63224"	"2I22"
"P0A6N1"	"1D8T"
"P32131"	"1OLT"
"P24941"	"1AQ1"
"P0A6H1"	"1OVX"
"P69853"	"3CW0"
"P14294"	"1D6M"
"P77202"	"1V57"
"P08245"	"1D1R"
"P02369"	"1M5G"
"P0A6F3"	"1BO5"
"P04287"	"1HD8"
"P39435"	"1B3N"
"P0A7Y8"	"2LJP"
"P0AG51"	"1ML5"
"P0A8Q6"	"1LZW"
"P0A9W6"	"1NY8"
"P04128"	"2JTY"
"P24186"	"1B0A"
"P07363"	"1A0O"
"P0A7V3"	"1M5G"
"P02366"	"1M5G"
"P60240"	"3DMQ"
"P0A6R3"	"1ETK"
"P23852"	"3DMQ"
"P0AGE6"	"3SVL"
"P28224"	"2F09"
"P05719"	"2Y7C"
"P11454"	"2ROQ"
"P0A8G0"	"1KFT"
"P0A7M6"	"1ML5"
"P07813"	"2AJG"
"P11164"	"1G8E"
"P0AEU7"	"1SG2"
"P07460"	"1CQI"
"P07672"	"2DY0"
"P37028"	"1N2Z"
"P17963"	"2X86"
"P25553"	"2HG2"
"P0A6D7"	"1KAG"
"P16070"	"1POZ"
"P16686"	"2FSU"
"P46853"	"3F4L"
"P0AE85"	"3ITF"
"P02413"	"1ML5"
"P09030"	"1AKO"
"P02984"	"1E44"
"P0ABS5"	"1DD9"
"P0A7W7"	"1EG0"
"P77310"	"3LVL"
"P0A6B7"	"1P3W"
"P07019"	"1DUL"
"Q93K97"	"1G0S"
"P08336"	"4BIU"
"P00575"	"3IYD"
"P11549"	"1RRM"
"P0A823"	"4DAP"
"P52083"	"1NNX"
"P16456"	"3U0O"
"P06129"	"1NQE"
"P33780"	"3QE7"
"P0ACJ8"	"1CGP"
"P02996"	"2RDO"
"Q46925"	"4LW2"
"P0A7H3"	"3Q8D"
"P0C077"	"2KC8"
"P37634"	"4BLU"
"P02933"	"1BXD"
"P38106"	"1OR7"
"P24285"	"1U7U"
"P0ABF6"	"1AF2"
"P24193"	"2I6R"
"P0AFG0"	"2JVV"
"P0A7E9"	"2BND"
"P31223"	"2F1M"
"P61316"	"1IWL"
"P17112"	"3CES"
"P00844"	"1A91"
"P0ACG8"	"1DM9"
"P21170"	"3NZQ"
