"1D4X"	"2C44"
"1H0P"	"1QB5"
"4GQT"	"1F47"
"2KJI"	"2BON"
"2BDW"	"1B6T"
"1Z2U"	"1NEK"
"3C2G"	"1RYK"
"3N89"	"1FW9"
"2B34"	"2ZCU"
"2O3J"	"1MZG"
"1SPX"	"2D1P"
"2P32"	"2KJ8"
"1T7S"	"1UJB"
"1OOE"	"2G6S"
"3K6T"	"1A23"
"2M4N"	"1RWU"
"4F1I"	"1B79"
"2HB6"	"1BXI"
"1JTH"	"1Q08"
"4M9R"	"1MT0"
"2FO1"	"2JHE"
"2BDW"	"1SG7"
"1AHR"	"1FM0"
"1XHL"	"1K92"
"1WK1"	"2GV1"
"2M05"	"1VS5"
"2LYC"	"1C5K"
"1UOC"	"1L1P"
"1OHU"	"2KQX"
"3QWX"	"1C21"
"3KL8"	"1EG0"
