"3SF5"	"1NRK"
"4I1X"	"1TII"
"3IEC"	"1RFL"
"1KLX"	"1AON"
"2GTS"	"1B79"
"2BHV"	"3W9Z"
"3IQC"	"1BBU"
"1K11"	"1CME"
"1AYA"	"2PJU"
"2VW9"	"1PFK"
"2ATZ"	"1U9L"
"2JGQ"	"1MBB"
"3TDG"	"1D8T"
"4FYB"	"1CC9"
"3RRL"	"1EM8"
"3CEI"	"2ID0"
"1G6O"	"1EG0"
"3RPF"	"1KF6"
"2PT7"	"1NYT"
"3K1H"	"3CB4"
"2K0Z"	"1VIX"
"4HI0"	"1BXI"
"2B7N"	"1TE2"
"2H9Z"	"3AWI"
"3ZCI"	"2AYX"
"4G3H"	"2ZPL"
"3L9Z"	"1M08"
"2UVP"	"3TCJ"
"2WP0"	"2R6G"
"1PU6"	"1V4G"
"1OUV"	"1ADE"
