"1JQJ"	"3M1I"
"1D8T"	"2AIV"
"1MJC"	"4C2M"
"1P85"	"4FFB"
"1M5G"	"4FFB"
"4LAB"	"4C2M"
"1M5G"	"1Z45"
"1EG0"	"3O8O"
"1P85"	"2HLD"
"2F9Y"	"4F6O"
"2O97"	"3H0X"
"1ML5"	"1NLT"
"1EG0"	"2DZN"
"3V8V"	"4CR2"
"1V57"	"1AFW"
"4BIU"	"1K5Y"
"1VT2"	"1YAG"
"1AON"	"1BK5"
"2BH8"	"1EBG"
"1P85"	"1AP8"
"1K6K"	"1SCG"
"3DF2"	"3P9D"
"1GRJ"	"3ACP"
"2BN8"	"1OXB"
"1IHF"	"2FH9"
"3DF2"	"1HQZ"
"1BQ0"	"3W1S"
"3DF2"	"2AJ4"
"1HNR"	"1JSC"
"1E1O"	"2YNN"
"1P85"	"2HLD"
"1AHP"	"3IZS"
"1TYF"	"3W15"
"2JF4"	"4C8Q"
"1DPS"	"4C8Q"
"2LY3"	"1R52"
"1ND9"	"2HRA"
"1F0K"	"2VKN"
"3CB4"	"2J49"
"1EY1"	"2FTX"
"2IFE"	"3NYB"
"3DJL"	"1SXJ"
"1RQI"	"2OD8"
"1DDR"	"3BTS"
"1J53"	"2JQJ"
"3DF2"	"3O8O"
"1GZ0"	"2HES"
"1KFT"	"1SXJ"
"2YKR"	"1ZUK"
"1C21"	"2PQR"
"3DF2"	"3P9D"
"1TD5"	"1JIH"
"3DF2"	"2HLD"
"1OI2"	"1N5Z"
"1B79"	"2CJK"
"1P85"	"1HKG"
"1ML5"	"3OLM"
"1NMO"	"4BJ1"
"1JBK"	"2HZS"
"1A62"	"4C9G"
"1AON"	"3J1O"
"1EG0"	"4ADY"
"1PMM"	"3P9D"
"1M5G"	"3RM5"
"1ML5"	"2PFF"
"1EG0"	"1JEH"
"1M5G"	"1NEX"
"1M5G"	"3IZS"
"1P85"	"1IFW"
"1VS6"	"1I3Q"
"1EQ2"	"4C8Q"
"1M5G"	"1BQ3"
"1M5G"	"2KZ9"
"1BPR"	"1ZUU"
"2IS3"	"3ERF"
"1E94"	"2QLV"
"1J1V"	"1NYH"
"1GQE"	"4M77"
"2IFE"	"1PLQ"
"1GG4"	"2OG4"
"1AB4"	"2XAU"
"2JGD"	"2LHI"
"1EZA"	"1Y2Y"
"2RDD"	"2WW9"
"1KY9"	"3W15"
"2B3T"	"3IAB"
"2B3T"	"2LI5"
"1F47"	"1DFA"
"1JSW"	"1OD2"
"1PIL"	"1L8X"
"3JZ4"	"3FMA"
"1L5J"	"1MNM"
"2ZYA"	"1XIP"
"2QCZ"	"1W1N"
"2AR0"	"1ROC"
"2X86"	"2PK9"
"1M5G"	"4A9A"
"3N75"	"1JAT"
"2ASR"	"2J6A"
"2HO9"	"4G4S"
"3CW0"	"2PQN"
"1IWM"	"2WOJ"
"1CM5"	"1Y5O"
"1OAP"	"3B2E"
"1P85"	"3GL1"
"1EY1"	"2V0P"
"1BNC"	"1SSH"
"1P9P"	"3RKU"
"1AJA"	"1ARD"
"1EG0"	"4M5D"
"1A40"	"1NH2"
"1B75"	"3UPV"
"1MUL"	"1E6I"
"2O97"	"1G62"
"1ND9"	"4CR3"
"1HNR"	"1ID3"
"1E0T"	"4C2M"
"2C44"	"2L3T"
"1E1O"	"2JVB"
"1CD5"	"1NGM"
"1D8S"	"1DMZ"
"1JXA"	"4C2M"
"3QOU"	"4BRU"
"1EG0"	"3J47"
"1ORM"	"1A6R"
"1AJ6"	"1EZV"
"2PKX"	"1SSE"
"1S14"	"4C8Q"
"1FAJ"	"2X19"
"3LVL"	"4DGW"
"1IHF"	"2FSB"
"1U2J"	"1Z56"
"1BO5"	"1K5X"
"1Q16"	"3B5N"
"1TIW"	"1RF8"
"1CQI"	"1X3W"
"1K6K"	"1F54"
"1HZE"	"2XZL"
"2D3W"	"1M2O"
"1KSK"	"1TRJ"
"1C14"	"1C3G"
"1GX1"	"2BKW"
"3GVA"	"1TEY"
"1ID0"	"3ZZF"
