"4KFV"	"3GWG"
"1YAG"	"3IEC"
"2UZG"	"1JI4"
"1OWX"	"2UVP"
"1JTH"	"3RRL"
"2A41"	"3KU7"
"1T0H"	"3P9Z"
"1R5S"	"1YG0"
"1SG1"	"1J2Y"
"1BET"	"2EVV"
"2FN5"	"2R62"
"1B8Q"	"1AYA"
"1YP0"	"2GTS"
"1L2J"	"2KDX"
"1MKE"	"2K0Z"
"1RSO"	"2H9Z"
"1BNO"	"2Q0K"
"2C4P"	"1PU6"
"2A72"	"1LNO"
"1Z0M"	"2QH5"
"1M5Z"	"1E9Y"
"1JAS"	"1QWL"
"2D31"	"2PZH"
"2G5M"	"3ZCI"
