"1E9Y"	"1B9U"
"3IEC"	"1GG4"
"2KDX"	"1CL1"
"2I9I"	"2H09"
"2K0Z"	"2ID0"
"3P9Z"	"1AZO"
"1MHF"	"1HO1"
"2ZL0"	"2RQL"
"3L9Z"	"1CL0"
"2UVP"	"1KAG"
"3MYD"	"1OI2"
"1YG0"	"1F3G"
"3QDL"	"2WIU"
"3IQC"	"3DHW"
"3TDG"	"1BAL"
"2PT7"	"3LA6"
"1G6O"	"2GQR"
"1KLX"	"1JQJ"
"3RPF"	"1IWL"
"4I1X"	"1H75"
"2BHV"	"3CB4"
"3QHP"	"1K6D"
"2VW9"	"1CM2"
"1YGZ"	"1VI7"
"4HI0"	"1OAZ"
"2H9Z"	"2R6G"
"1UM8"	"1GLG"
"4G3H"	"2PFU"
"2WP0"	"1XM5"
"1QWL"	"1A04"
"1Z8M"	"3BFQ"
