"3EY9"	"1H6G"
"1JQJ"	"1G3J"
"1D8T"	"1A1U"
"1EPS"	"3G9V"
"1MJC"	"3H9R"
"1MUL"	"1B47"
"1M5G"	"4EFO"
"1P85"	"1A3Q"
"1M5G"	"2FC8"
"1EG0"	"3MMY"
"1D8S"	"3Q4T"
"4LAB"	"1NFI"
"1EG0"	"1KEX"
"1P85"	"1E8Y"
"2F9Y"	"1H4L"
"2O97"	"1C7U"
"1EG0"	"1GNG"
"1ML5"	"1CDF"
"1EG0"	"1RJK"
"1BDF"	"1AD6"
"1V57"	"3U86"
"1JQJ"	"1G5M"
"1QYN"	"2LK0"
"4BIU"	"3RO2"
"1KNW"	"2MB7"
"1AON"	"2LJ5"
"2BH8"	"1B22"
"2KTS"	"3A60"
"1BXW"	"1A2C"
"2AUK"	"1Q4K"
"1K6K"	"2CLQ"
"3KCU"	"4I5M"
"1CY0"	"3RGF"
"1GRJ"	"1NB8"
"2BN8"	"2G1L"
"2JVV"	"1H28"
"1IHF"	"1ALU"
"3IYD"	"2YPA"
"1BQ0"	"2C60"
"1FPO"	"1PA7"
"3RF9"	"1AJI"
"1ML5"	"3U84"
"1DC3"	"1RV1"
"2P7V"	"3MAX"
"3DF2"	"4LWD"
"1U9L"	"1GXC"
"1P85"	"1WF6"
"1HNR"	"1XB7"
"1D8Y"	"1WM2"
"1E1O"	"1A93"
"1SIG"	"2KXC"
"1M5G"	"2GUT"
"3IYD"	"1CF7"
"1P9K"	"1CXZ"
"1AHP"	"3J3B"
"1TYF"	"2DAE"
"1EQQ"	"1VR2"
"1P85"	"1CF7"
"2JF4"	"2BV1"
"1DPS"	"1EXT"
"4LRX"	"2B7A"
"1ACP"	"2KR6"
"2LY3"	"2D3J"
"1ND9"	"1CF4"
"1F0K"	"1HMC"
"1JBK"	"2D31"
"1LN4"	"4GO6"
"1FAJ"	"1PB5"
"1EY1"	"1ALY"
"1LXA"	"1SG1"
"1RFL"	"2KVM"
"1DO0"	"1BYQ"
"2PTH"	"2MB9"
"2HNH"	"1LC9"
"2WCV"	"1Q7D"
"1ZVT"	"1E31"
"2IFE"	"1GF2"
"3DJL"	"2I0E"
"1RQI"	"1B9G"
"1D6M"	"1A1M"
"1DDR"	"3S98"
"1D9E"	"2JYW"
"1J53"	"1BJ1"
"1QZM"	"1FLK"
"3DF2"	"2AZE"
"1M5G"	"3E1R"
"1IWL"	"1KZZ"
"1SG2"	"1GKC"
"1P85"	"2CNX"
"1EVK"	"1MR1"
"1KFT"	"2OEV"
"2YKR"	"1H10"
"2KDV"	"1R4X"
"2BND"	"1CA4"
"1C21"	"2WWU"
"3DF2"	"2VGQ"
"2IS1"	"1DKF"
"1JNS"	"3SO6"
"1SRO"	"2L43"
"1JSX"	"1PWA"
"1QHL"	"3LTL"
"1TD5"	"1DYN"
"3DF2"	"1NGR"
"1OI2"	"3AI5"
"1B79"	"2KHX"
"2RT6"	"1BBR"
"1FTS"	"1NRV"
"1JBK"	"2V1X"
"1A62"	"1YWH"
"1PMM"	"1LU7"
"1M5G"	"2VX8"
"1M5G"	"1LM5"
"1EG0"	"2COM"
"1P85"	"2G7R"
"1M5G"	"2B5L"
"1P85"	"1XEU"
"1P85"	"1FQV"
"1VS6"	"1CX8"
"1P85"	"2ABO"
"1EQ2"	"1AQ1"
"1M5G"	"1E96"
"1M5G"	"2BQZ"
"1M5G"	"4EMO"
"1P85"	"2IIJ"
"1VS5"	"2IQP"
"1M5G"	"1YA5"
"1ML5"	"2I46"
"1BXI"	"2RKC"
"1BXI"	"1D4T"
"1M08"	"1CKL"
"1AV8"	"1YCS"
"1D8T"	"1C1Y"
"1BPR"	"1E3G"
"1QFN"	"4KFM"
"1XDO"	"1W1F"
"4JDR"	"1BY4"
"1QJO"	"1AAP"
"1JQJ"	"2AAV"
"1Y00"	"1DV0"
"3NZQ"	"1GK5"
"1M5G"	"2I8N"
"1EM8"	"2P1L"
"1E94"	"3J3A"
"1F21"	"2KY6"
"2VYC"	"2IZX"
"1VT2"	"1H24"
"1J1V"	"1UWH"
"1MKA"	"1CWR"
"1GQE"	"1AZE"
"2YJT"	"3VI3"
"1ZVT"	"3GV6"
"1GG4"	"1AUE"
"1AB4"	"2LAH"
"1VUB"	"1PDG"
"3TCJ"	"2P4E"
"1AB4"	"1GQ5"
"2CYU"	"2ZN8"
"2JGD"	"2H9R"
"1VBM"	"1MGS"
"3J0T"	"1BH0"
"1A62"	"2J4O"
"1OVX"	"1D5R"
"1D8S"	"3EVS"
"2WIU"	"3S95"
"1YSP"	"1ND8"
"1BDX"	"2B1W"
"1HW7"	"2A4D"
"1KY9"	"1KLA"
"1G9S"	"1FM6"
"1MWY"	"1XB7"
"3DHW"	"1A5R"
"1NEK"	"3T6G"
"1NEK"	"1WYX"
"2B3T"	"3EBB"
"2B3T"	"2WX3"
"3Q9L"	"1MFG"
