"3UF4"	"1ALM"
"2DX5"	"1Q4Q"
"1AWC"	"1D2Z"
"2KLD"	"1Q4K"
"2QPF"	"3TXM"
"1PME"	"3K40"
"4APX"	"1R4K"
"3OQ9"	"1UJU"
"2C2L"	"3ZPV"
"2WBX"	"2WBR"
"2PJX"	"2NQB"
"1EQF"	"2XYI"
"1AWJ"	"4A8X"
"2Q7N"	"1R6Z"
"1UUJ"	"1DVP"
"1TPZ"	"2AYM"
"1AD6"	"1VHH"
"2DVW"	"1AT0"
"3C98"	"1KNA"
"2V0X"	"1K2F"
"1VHH"	"3J39"
"2O26"	"3BS5"
"1YWH"	"2FF6"
"1AWC"	"1D2Z"
"1ES7"	"1L3W"
"3Q4T"	"1G3J"
"2PJX"	"3CB5"
"2E6L"	"2NQB"
"1KPS"	"2P2T"
"2FCI"	"4A8X"
"1BW8"	"2KOM"
"2DVW"	"2IBB"
"3O2Q"	"1IHJ"
"1D9K"	"1WA9"
